repo,maintenance_risk,maintenance_risk_unc,maintenance_coverage,maintenance_confidence,maintenance_label,license_risk,license_label,risk_days_since_last_push,risk_days_since_last_release,risk_fraction_issues_closed_12mo,risk_fraction_open_issues_stale_180d,risk_stars_count,risk_contributors_count,risk_issues_per_contributor,risk_contributors_last_12mo,risk_top_contributor_fraction_12mo,risk_archived,risk_open_issues_count,risk_license_risk,risk_avg_time_to_first_maintainer_response_days,risk_fraction_unanswered_after_30d,risk_median_time_to_close_days,risk_open_issue_age_p90_days
numpy/numpy,0.19699112615198935,0.19699112615198935,1.0,high,low,,unknown,0.004425310466931217,0.07442185777067901,0.3982758620689655,0.9283325370281891,0.062494,0.5925185037007401,0.57747791952895,0.068,0.12360861759425493,0.0,0.49885,,0.30330545138888887,0.5706168145331644,0.04562450396825397,0.7007022040771584
pandas-dev/pandas,0.18582614022600835,0.18582614022600835,1.0,high,low,0.0,low,0.00016355474173280425,0.1480155012945216,0.45581395348837206,0.9182692307692307,0.0337345,0.1750350070014003,0.5029696969696971,0.0,0.0,0.0,0.598,0.0,0.42046671618189235,0.6976459510357816,0.1325186011904762,0.6431366174276933
django/django,0.07704353540363239,0.1970435354036325,0.8799999999999999,medium,low,0.0,low,0.0002610528181216931,,,,0.0226504,0.3228645729145829,0.10065711754282339,0.0,0.00480225988700564,0.0,0.2495,0.0,,,,
torvalds/linux,0.07893112019770998,0.2195561201977101,0.8593749999999999,medium,low,,unknown,0.0012416680343915344,,,,0.0,,,0.044,0.0,0.0,0.006,,,,,
scikit-learn/scikit-learn,0.16615470284578548,0.16615470284578548,1.0,high,low,0.0,low,0.008600869697420636,0.37140024086550927,0.34502712477396025,0.9149874055415617,0.0269978,0.30546109221844364,0.3953210480852289,0.0,0.0,0.0,0.48475,0.0,0.7313045162509448,0.2727272727272727,0.037975942460317456,0.5664361457803241
pallets/flask,0.26307682540812294,0.26307682540812294,1.0,high,medium,0.0,low,0.1700865227962963,0.7415738150508295,0.0,,0.0257698,0.8277655531106222,0.002320185614849188,0.19333333333333333,0.9241071428571429,0.0,0.004,0.0,0.0035052083333333333,1.0,0.0005007440476190476,0.4848664592529835
psf/requests,0.2294289422505053,0.3008575136790767,0.9285714285714286,medium,low,0.0,low,0.052099644833333326,0.7444097102681007,0.19458689458689454,0.9257425742574257,0.0292532,0.8449689937987598,0.3020618556701031,0.21999999999999997,0.2737373737373738,0.0,0.2315,0.0,,,2.2321428571428573e-06,
pypa/pip,0.24569543393256965,0.24569543393256965,1.0,high,low,0.0,low,0.05051653647652116,,0.4101265822784811,0.9433656957928803,0.09983725,0.8261652330466094,0.5879310344827586,0.096,0.3476885644768857,0.0,0.402625,0.0,0.03255173611111111,0.7277777777777777,0.03054985119047619,0.37416889010378085
matplotlib/matplotlib,0.21786172965733241,0.21786172965733241,1.0,high,low,,unknown,0.05202904822089948,0.5048603063204411,0.4008908685968819,0.8942908117752006,0.0784015,0.6267253450690138,0.4797268344938404,0.052000000000000005,0.10791161796151107,0.0,0.440425,,0.5998461268187831,0.24999999999999997,0.008212301587301588,0.4317523884418467
scipy/scipy,0.20129015795654617,0.20129015795654617,1.0,high,low,0.0,low,0.004404809951058201,0.21462739920081023,0.41856287425149696,,0.09221075000000001,0.6253250650130027,0.5252401280683031,0.056,0.0,0.0,0.45685000000000003,0.0,0.05483648989898989,0.6166666666666667,0.7675963107638889,0.6208605116076952
tiangolo/fastapi,0.19421415366174352,0.43911211284541707,0.7551020408163265,low,low,0.0,low,0.00035968981415343917,0.001766985038734568,,,0.020989,0.8225645129025805,0.14594594594594593,0.11333333333333334,0.3583333333333333,0.0,0.172,0.0,,,,
pytorch/pytorch,0.2516923984197838,0.27210056168508984,0.979591836734694,high,medium,,unknown,0.0001598252880291005,0.14755135962469135,0.488247836448012,0.8400299009530927,0.0205254,0.0,0.8166425818882467,0.0,0.0,0.0,0.9598,,1.0,0.9333333333333333,,0.6364972700889171
tensorflow/tensorflow,0.31994571452044107,0.31994571452044107,1.0,high,medium,0.0,low,0.0001840384695767196,0.7525175754414978,0.48051391862955034,0.6218036529680364,0.0012588000000000009,0.0,0.4284688995215311,0.0,0.6438524590163935,0.0,0.5869,0.0,0.9260385561342592,0.9714285714285714,0.13958333333333334,0.6379877359839808
sqlalchemy/sqlalchemy,0.19203340373860375,0.2124415670039098,0.979591836734694,high,low,0.0,low,0.09261258198313493,0.14728092267746914,0.09883720930232556,0.9289473684210525,0.0973715,0.8379675935187038,0.20314426633785448,0.08800000000000001,0.8130733944954128,0.0,0.20175,0.0,0.04666840277777778,0.0,,0.2921202065137346
pytest-dev/pytest,0.27070433881241107,0.27070433881241107,1.0,high,medium,0.0,low,0.028825745907076723,0.38974076197847224,0.449438202247191,0.9034482758620689,0.09377525,0.7829565913182637,0.5146408839779006,0.084,0.24871794871794872,0.0,0.3975,0.0,0.2821652777777778,0.9,0.8042243102796675,0.687617158038476
redis/lettuce,0.2915881851560786,0.31199634842138463,0.979591836734694,high,medium,0.0,low,0.014617955705026456,0.04114328475177469,0.3290322580645161,0.7307692307692306,0.21891666666666668,0.9645929185837168,0.6117977528089888,0.16666666666666669,0.7237500000000001,0.0,0.20825000000000002,0.0,,1.0,0.14305877976190476,0.4807723320811214
